iter	Passed	Remaining
0	123	122985
1	124	62212
2	126	41950
3	127	31821
4	129	25805
5	131	21840
6	133	18917
7	134	16729
8	136	15014
9	137	13639
10	139	12524
11	140	11596
12	142	10829
13	144	10155
14	145	9574
15	147	9063
16	148	8606
17	150	8200
18	151	7842
19	153	7514
20	155	7228
21	156	6968
22	158	6729
23	160	6517
24	161	6308
25	163	6118
26	164	5938
27	166	5780
28	168	5635
29	169	5490
30	171	5357
31	173	5234
32	174	5124
33	176	5013
34	178	4911
35	179	4817
36	181	4725
37	183	4639
38	184	4554
39	186	4474
40	188	4405
41	189	4332
42	191	4270
43	193	4203
44	195	4139
45	196	4076
46	198	4019
47	199	3963
48	201	3908
49	203	3857
50	204	3805
51	206	3760
52	208	3718
53	209	3676
54	211	3633
55	213	3593
56	214	3553
57	216	3511
58	217	3476
59	219	3440
60	221	3406
61	222	3371
62	224	3338
63	226	3309
64	227	3276
65	229	3247
66	230	3216
67	232	3188
68	234	3161
69	236	3136
70	237	3111
71	239	3086
72	241	3060
73	242	3040
74	244	3017
75	246	2997
76	248	2974
77	249	2953
78	251	2933
79	253	2912
80	254	2891
81	256	2873
82	257	2845
83	259	2825
84	260	2807
85	262	2791
86	264	2773
87	266	2756
88	267	2740
89	269	2724
90	271	2707
91	272	2690
92	274	2673
93	275	2657
94	277	2641
95	278	2625
96	280	2609
97	281	2593
98	283	2576
99	284	2561
100	286	2546
101	287	2531
102	289	2517
103	290	2504
104	292	2491
105	294	2479
106	295	2468
107	297	2456
108	299	2444
109	301	2436
110	302	2423
111	304	2412
112	305	2400
113	307	2388
114	308	2376
115	310	2364
116	311	2350
117	312	2339
118	314	2328
119	315	2315
120	317	2304
121	318	2291
122	320	2285
123	322	2277
124	323	2267
125	325	2256
126	326	2244
127	328	2234
128	329	2224
129	330	2214
130	332	2204
131	333	2195
132	335	2187
133	337	2178
134	338	2170
135	340	2160
136	341	2151
137	343	2143
138	344	2134
139	346	2126
140	347	2119
141	349	2109
142	350	2103
143	352	2095
144	354	2087
145	355	2080
146	357	2072
147	358	2064
148	360	2057
149	361	2049
150	363	2042
151	365	2037
152	366	2031
153	368	2024
154	369	2017
155	371	2010
156	373	2003
157	374	1997
158	376	1991
159	377	1983
160	378	1974
161	380	1969
162	382	1964
163	384	1958
164	385	1952
165	387	1947
166	389	1941
167	390	1935
168	392	1929
169	394	1924
170	395	1919
171	397	1913
172	399	1907
173	400	1902
174	402	1897
175	404	1891
176	405	1886
177	407	1881
178	409	1876
179	411	1872
180	412	1868
181	414	1863
182	416	1857
183	417	1853
184	419	1848
185	421	1843
186	422	1837
187	424	1832
188	425	1827
189	427	1823
190	429	1818
191	431	1814
192	432	1809
193	434	1804
194	435	1799
195	437	1795
196	439	1789
197	440	1784
198	442	1781
199	444	1776
200	445	1771
201	447	1765
202	448	1761
203	450	1756
204	451	1751
205	453	1747
206	455	1743
207	456	1739
208	458	1734
209	460	1730
210	461	1726
211	463	1721
212	464	1717
213	466	1713
214	468	1708
215	469	1705
216	471	1701
217	472	1696
218	474	1691
219	475	1687
220	477	1682
221	479	1678
222	480	1674
223	482	1670
224	483	1665
225	485	1661
226	486	1657
227	488	1654
228	490	1649
229	491	1646
230	493	1642
231	495	1639
232	496	1635
233	498	1631
234	500	1628
235	501	1624
236	503	1620
237	505	1618
238	507	1615
239	509	1612
240	510	1607
241	512	1604
242	513	1600
243	515	1596
244	516	1592
245	518	1588
246	519	1584
247	521	1580
248	522	1576
249	524	1572
250	525	1568
251	527	1564
252	528	1560
253	530	1557
254	531	1553
255	533	1550
256	534	1546
257	536	1542
258	538	1539
259	539	1535
260	541	1532
261	542	1529
262	544	1525
263	545	1522
264	547	1518
265	548	1514
266	550	1510
267	551	1506
268	553	1504
269	555	1500
270	556	1497
271	558	1493
272	559	1490
273	561	1486
274	563	1484
275	564	1481
276	566	1477
277	567	1474
278	569	1472
279	571	1469
280	573	1466
281	574	1463
282	576	1460
283	577	1456
284	579	1453
285	581	1451
286	583	1448
287	584	1445
288	586	1442
289	588	1439
290	589	1436
291	591	1433
292	593	1431
293	594	1427
294	596	1424
295	597	1421
296	599	1418
297	601	1416
298	602	1413
299	604	1410
300	606	1407
301	607	1404
302	609	1401
303	611	1398
304	613	1397
305	614	1394
306	616	1391
307	618	1389
308	620	1386
309	621	1383
310	623	1380
311	624	1377
312	626	1375
313	628	1373
314	630	1370
315	631	1367
316	633	1364
317	635	1362
318	636	1359
319	638	1356
320	639	1353
321	641	1350
322	643	1347
323	644	1345
324	646	1341
325	647	1339
326	648	1335
327	650	1333
328	652	1330
329	653	1327
330	655	1324
331	657	1322
332	658	1319
333	660	1316
334	661	1313
335	663	1311
336	665	1309
337	667	1306
338	668	1303
339	670	1300
340	671	1297
341	673	1295
342	674	1291
343	676	1289
344	677	1286
345	679	1283
346	680	1281
347	682	1278
348	684	1276
349	685	1273
350	687	1270
351	688	1267
352	690	1264
353	691	1261
354	693	1259
355	694	1256
356	696	1254
357	698	1251
358	699	1249
359	701	1246
360	702	1244
361	704	1241
362	705	1238
363	707	1235
364	708	1232
365	710	1230
366	711	1227
367	713	1225
368	714	1222
369	716	1220
370	718	1217
371	719	1214
372	721	1212
373	722	1209
374	724	1207
375	725	1204
376	727	1202
377	728	1199
378	730	1196
379	731	1194
380	733	1191
381	734	1188
382	736	1186
383	738	1183
384	739	1181
385	741	1179
386	743	1176
387	744	1174
388	746	1172
389	747	1169
390	749	1167
391	750	1164
392	752	1162
393	754	1159
394	755	1157
395	757	1155
396	759	1153
397	760	1150
398	762	1148
399	763	1145
400	765	1142
401	766	1140
402	768	1138
403	769	1135
404	771	1133
405	773	1131
406	774	1128
407	776	1126
408	777	1123
409	779	1121
410	781	1119
411	782	1117
412	784	1114
413	785	1112
414	787	1109
415	788	1107
416	790	1105
417	791	1102
418	793	1100
419	794	1097
420	796	1095
421	798	1093
422	799	1090
423	801	1088
424	803	1086
425	804	1084
426	806	1082
427	807	1079
428	809	1076
429	810	1074
430	812	1072
431	813	1069
432	815	1067
433	816	1065
434	818	1063
435	820	1060
436	821	1058
437	823	1056
438	824	1053
439	825	1051
440	827	1048
441	829	1046
442	830	1044
443	832	1042
444	833	1040
445	835	1037
446	836	1035
447	838	1032
448	839	1030
449	841	1028
450	843	1026
451	844	1024
452	846	1021
453	847	1019
454	849	1017
455	851	1015
456	852	1013
457	854	1011
458	856	1009
459	857	1006
460	859	1004
461	860	1002
462	862	1000
463	864	998
464	865	995
465	866	993
466	868	990
467	869	988
468	871	986
469	872	984
470	874	981
471	876	979
472	877	977
473	879	975
474	880	973
475	882	970
476	883	968
477	885	966
478	886	964
479	888	962
480	889	960
481	891	958
482	893	955
483	894	953
484	896	951
485	897	949
486	899	947
487	901	945
488	902	943
489	904	941
490	906	939
491	908	937
492	909	935
493	911	933
494	913	931
495	914	929
496	916	927
497	917	925
498	919	922
499	920	920
500	922	918
501	924	916
502	925	914
503	927	912
504	928	910
505	929	907
506	931	905
507	933	903
508	934	901
509	936	899
510	937	897
511	939	895
512	941	893
513	942	891
514	944	889
515	945	887
516	947	885
517	948	882
518	950	880
519	951	878
520	953	876
521	954	874
522	956	872
523	957	870
524	959	867
525	960	865
526	962	863
527	963	861
528	965	859
529	967	857
530	968	855
531	970	853
532	972	852
533	973	849
534	975	847
535	976	845
536	978	843
537	980	841
538	981	839
539	983	837
540	984	835
541	986	833
542	987	831
543	989	829
544	991	827
545	992	825
546	994	823
547	996	821
548	997	819
549	999	817
550	1000	815
551	1002	813
552	1003	811
553	1005	809
554	1006	807
555	1008	805
556	1010	803
557	1012	801
558	1013	799
559	1015	797
560	1016	795
561	1018	793
562	1019	791
563	1021	789
564	1022	787
565	1024	785
566	1025	783
567	1027	781
568	1028	779
569	1030	777
570	1031	775
571	1033	773
572	1034	771
573	1036	769
574	1038	767
575	1039	765
576	1041	763
577	1042	761
578	1044	759
579	1045	757
580	1047	755
581	1049	753
582	1050	751
583	1052	749
584	1054	747
585	1055	745
586	1056	743
587	1058	741
588	1060	739
589	1061	737
590	1063	735
591	1065	734
592	1066	732
593	1068	730
594	1070	728
595	1071	726
596	1073	724
597	1075	722
598	1076	720
599	1078	718
600	1079	716
601	1080	714
602	1082	712
603	1084	710
604	1085	708
605	1087	706
606	1088	704
607	1090	702
608	1091	700
609	1093	698
610	1094	697
611	1096	695
612	1098	693
613	1100	691
614	1102	689
615	1103	688
616	1105	686
617	1107	684
618	1108	682
619	1110	680
620	1112	678
621	1113	676
622	1115	674
623	1116	673
624	1118	671
625	1120	669
626	1121	667
627	1123	665
628	1124	663
629	1126	661
630	1127	659
631	1129	657
632	1131	655
633	1132	654
634	1134	652
635	1135	650
636	1137	648
637	1138	646
638	1140	644
639	1142	642
640	1143	640
641	1145	638
642	1146	636
643	1148	634
644	1149	632
645	1151	630
646	1152	628
647	1154	627
648	1155	625
649	1157	623
650	1158	621
651	1160	619
652	1161	617
653	1163	615
654	1164	613
655	1166	611
656	1167	609
657	1169	607
658	1171	605
659	1172	603
660	1174	602
661	1175	600
662	1177	598
663	1179	596
664	1180	594
665	1182	592
666	1183	591
667	1185	589
668	1186	587
669	1188	585
670	1189	583
671	1191	581
672	1193	579
673	1194	577
674	1196	575
675	1197	574
676	1199	572
677	1201	570
678	1202	568
679	1204	566
680	1205	564
681	1207	563
682	1209	561
683	1210	559
684	1212	557
685	1213	555
686	1215	553
687	1216	551
688	1218	549
689	1220	548
690	1221	546
691	1223	544
692	1224	542
693	1227	541
694	1228	539
695	1230	537
696	1231	535
697	1233	533
698	1234	531
699	1236	529
700	1237	527
701	1239	526
702	1240	524
703	1242	522
704	1244	520
705	1246	518
706	1248	517
707	1249	515
708	1251	513
709	1252	511
710	1254	509
711	1256	508
712	1257	506
713	1259	504
714	1261	502
715	1262	500
716	1263	498
717	1265	496
718	1266	495
719	1268	493
720	1270	491
721	1272	489
722	1273	487
723	1275	486
724	1276	484
725	1278	482
726	1279	480
727	1281	478
728	1283	477
729	1284	475
730	1286	473
731	1288	471
732	1289	469
733	1291	467
734	1292	466
735	1294	464
736	1296	462
737	1298	460
738	1299	459
739	1301	457
740	1302	455
741	1303	453
742	1305	451
743	1307	449
744	1308	447
745	1310	446
746	1311	444
747	1313	442
748	1314	440
749	1316	438
750	1317	436
751	1319	435
752	1320	433
753	1322	431
754	1323	429
755	1325	427
756	1326	425
757	1328	424
758	1329	422
759	1331	420
760	1332	418
761	1334	416
762	1335	414
763	1337	413
764	1338	411
765	1340	409
766	1341	407
767	1343	405
768	1344	403
769	1346	402
770	1347	400
771	1349	398
772	1351	396
773	1352	394
774	1353	393
775	1355	391
776	1357	389
777	1358	387
778	1360	385
779	1362	384
780	1363	382
781	1364	380
782	1366	378
783	1367	376
784	1369	375
785	1370	373
786	1373	371
787	1374	369
788	1376	368
789	1377	366
790	1379	364
791	1380	362
792	1382	360
793	1383	358
794	1385	357
795	1386	355
796	1388	353
797	1390	351
798	1391	350
799	1393	348
800	1395	346
801	1396	344
802	1397	342
803	1399	341
804	1400	339
805	1402	337
806	1404	335
807	1406	334
808	1407	332
809	1409	330
810	1410	328
811	1412	327
812	1414	325
813	1415	323
814	1417	321
815	1418	319
816	1420	318
817	1421	316
818	1423	314
819	1425	312
820	1426	311
821	1428	309
822	1429	307
823	1431	305
824	1433	304
825	1435	302
826	1436	300
827	1438	298
828	1439	296
829	1441	295
830	1442	293
831	1444	291
832	1445	289
833	1447	288
834	1448	286
835	1450	284
836	1452	282
837	1454	281
838	1455	279
839	1457	277
840	1458	275
841	1460	273
842	1461	272
843	1463	270
844	1465	268
845	1466	267
846	1468	265
847	1469	263
848	1471	261
849	1472	259
850	1474	258
851	1475	256
852	1477	254
853	1479	252
854	1480	251
855	1482	249
856	1483	247
857	1485	245
858	1486	244
859	1487	242
860	1489	240
861	1490	238
862	1492	236
863	1494	235
864	1495	233
865	1497	231
866	1499	229
