iter	Passed	Remaining
0	0	90
1	1	87
2	2	83
3	3	80
4	4	80
5	5	79
6	6	80
7	7	81
8	8	84
9	9	82
10	10	80
11	10	80
12	12	80
13	12	79
14	13	77
15	14	76
16	15	74
17	16	73
18	17	73
19	18	72
20	18	71
21	19	69
22	20	68
23	21	67
24	22	66
25	23	65
26	24	64
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	38	50
43	39	49
44	40	48
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
